Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2023 12 16 11 0.6552 
2023 12 16 12 0.6551 
2023 12 16 13 0.6551 
2023 12 16 14 0.6550 
2023 12 16 15 0.6550 
2023 12 16 16 0.6550 
2023 12 16 17 0.6549 
2023 12 16 18 0.6549 
2023 12 16 19 0.6548 
2023 12 16 20 0.6548 
2023 12 16 21 0.6548 
2023 12 16 22 0.6547 
2023 12 16 23 0.6547 
2023 12 17 0 0.6546 
2023 12 17 1 0.6546 
2023 12 17 2 0.6546 
2023 12 17 3 0.6545 
2023 12 17 4 0.6545 
2023 12 17 5 0.6544 
2023 12 17 6 0.6544 
2023 12 17 7 0.6544 
2023 12 17 8 0.6543 
2023 12 17 9 0.6543 
2023 12 17 10 0.6542 
2023 12 17 11 0.6542 
2023 12 17 12 0.6542 
2023 12 17 13 0.6541 
2023 12 17 14 0.6541 
2023 12 17 15 0.6540 
2023 12 17 16 0.6540 
2023 12 17 17 0.6540 
2023 12 17 18 0.6539 
2023 12 17 19 0.6539 
2023 12 17 20 0.6538 
2023 12 17 21 0.6538 
2023 12 17 22 0.6538 
2023 12 17 23 0.6537 
2023 12 18 0 0.6537 
2023 12 18 1 0.6536 
2023 12 18 2 0.6536 
2023 12 18 3 0.6536 
2023 12 18 4 0.6535 
2023 12 18 5 0.6535 
2023 12 18 6 0.6534 
2023 12 18 7 0.6534 
2023 12 18 8 0.6534 
2023 12 18 9 0.6533 
2023 12 18 10 0.6533 
2023 12 18 11 0.6532 
2023 12 18 12 0.6532 
2023 12 18 13 0.6532 
2023 12 18 14 0.6531 
2023 12 18 15 0.6531 
2023 12 18 16 0.6530 
2023 12 18 17 0.6530 
2023 12 18 18 0.6530 
2023 12 18 19 0.6529 
2023 12 18 20 0.6529 
2023 12 18 21 0.6528 
2023 12 18 22 0.6528 
2023 12 18 23 0.6528 
2023 12 19 0 0.6527 
2023 12 19 1 0.6527 
2023 12 19 2 0.6526 
2023 12 19 3 0.6526 
2023 12 19 4 0.6526 
2023 12 19 5 0.6525 
2023 12 19 6 0.6525 
2023 12 19 7 0.6524 
2023 12 19 8 0.6524 
2023 12 19 9 0.6524 
2023 12 19 10 0.6523 
2023 12 19 11 0.6523 
2023 12 19 12 0.6522 
2023 12 19 13 0.6522 
2023 12 19 14 0.6522 
2023 12 19 15 0.6521 
2023 12 19 16 0.6521 
2023 12 19 17 0.6520 
2023 12 19 18 0.6520 
2023 12 19 19 0.6520 
2023 12 19 20 0.6519 
2023 12 19 21 0.6519 
2023 12 19 22 0.6518 
2023 12 19 23 0.6518 
2023 12 20 0 0.6518 
2023 12 20 1 0.6517 
2023 12 20 2 0.6517 
2023 12 20 3 0.6517 
2023 12 20 4 0.6516 
2023 12 20 5 0.6516 
2023 12 20 6 0.6515 
2023 12 20 7 0.6515 
