Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2023 2 12 0 1.0000 0.7087 0.8962 0.5773 
2023 2 13 0 1.0000 0.7152 0.9020 0.5756 
2023 2 14 0 1.0000 0.7216 0.9077 0.5728 
2023 2 15 0 1.0000 0.7271 0.9126 0.5728 
2023 2 16 0 1.0000 0.7321 0.9171 0.5674 
2023 2 17 0 1.0000 0.7380 0.9223 0.5658 
2023 2 18 0 1.0000 0.7444 0.9280 0.5620 
2023 2 19 0 1.0000 0.7512 0.9340 0.5612 
2023 2 20 0 1.0000 0.7585 0.9404 0.5569 
2023 2 21 0 1.0000 0.7662 0.9473 0.5542 
2023 2 22 0 1.0000 0.7730 0.9534 0.5523 
2023 2 23 0 1.0000 0.7801 0.9596 0.5478 
2023 2 24 0 1.0000 0.7872 0.9658 0.5453 
2023 2 25 0 1.0000 0.7956 0.9731 0.5435 
2023 2 26 0 1.0000 0.8067 0.9825 0.5419 
2023 2 27 0 1.0000 0.8192 0.9931 0.5424 
2023 2 28 0 1.0000 0.8298 1.0018 0.5429 
2023 3 1 0 1.0000 0.8393 1.0073 0.5427 
2023 3 2 0 1.0000 0.8479 1.0106 0.5395 
2023 3 3 0 1.0000 0.8557 1.0124 0.5352 
2023 3 4 0 0.9922 0.8631 1.0149 0.5322 
2023 3 5 0 0.9669 0.8708 1.0202 0.5299 
2023 3 6 0 0.9389 0.8768 1.0241 0.5261 
2023 3 7 0 0.9089 0.8814 1.0265 0.5277 
2023 3 8 0 0.8786 0.8861 1.0283 0.5255 
2023 3 9 0 0.8475 0.8902 1.0294 0.5260 
2023 3 10 0 0.8156 0.8940 1.0301 0.5219 
2023 3 11 0 0.7833 0.8974 1.0305 0.5208 
2023 3 12 0 0.7516 0.9011 1.0308 0.5229 
2023 3 13 0 0.7197 0.9049 1.0311 0.5242 
2023 3 14 0 0.6876 0.9086 1.0313 0.5222 
2023 3 15 0 0.6552 0.9120 1.0314 0.5192 
2023 3 16 0 0.6223 0.9153 1.0314 0.5156 
2023 3 17 0 0.5899 0.9188 1.0316 0.5160 
2023 3 18 0 0.5586 0.9232 1.0319 0.5171 
2023 3 19 0 0.5269 0.9274 1.0321 0.5158 
2023 3 20 0 0.4958 0.9321 1.0325 0.5128 
