CHANNEL node 8 DALSANA
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 6.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2023 1 15 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 16 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 17 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 18 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 19 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 20 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 21 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 22 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 23 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 24 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 25 0 9.5200 0.19723147 8.4172 0.0000 
2023 1 26 0 9.5200 0.20539191 9.4256 0.0000 
2023 1 27 0 5.1170 0.11823294 6.1258 0.0000 
2023 1 28 0 0.0000 0.00917556 1.2622 0.0000 
2023 1 29 0 0.0000 0.00025596 0.1032 0.0000 
2023 1 30 0 0.0000 0.00000000 0.0030 0.0000 
2023 1 31 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 1 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 2 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 3 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 4 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 5 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 6 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 7 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 8 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 9 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 10 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 11 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 12 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 13 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 14 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 15 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 16 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 17 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 18 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 19 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 20 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 21 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 22 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 23 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 24 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 25 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 26 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 27 0 0.0000 0.00000000 0.0000 0.0000 
2023 2 28 0 0.2502 0.00496739 0.1928 0.0000 
2023 3 1 0 1.0183 0.02063787 0.8369 0.0000 
2023 3 2 0 1.4847 0.03121501 1.3623 0.0000 
2023 3 3 0 1.7401 0.03711522 1.6718 0.0000 
2023 3 4 0 2.0913 0.04454530 2.0053 0.0000 
2023 3 5 0 2.8387 0.05998986 2.6599 0.0000 
2023 3 6 0 3.3829 0.07208037 3.2429 0.0000 
2023 3 7 0 3.7180 0.07969504 3.6299 0.0000 
2023 3 8 0 3.9656 0.08520636 3.9018 0.0000 
2023 3 9 0 4.1191 0.08869084 4.0787 0.0000 
2023 3 10 0 4.2170 0.09090787 4.1913 0.0000 
2023 3 11 0 4.2782 0.09229643 4.2621 0.0000 
2023 3 12 0 4.3246 0.09332797 4.3127 0.0000 
2023 3 13 0 4.3606 0.09412470 4.3514 0.0000 
2023 3 14 0 4.3921 0.09481165 4.3841 0.0000 
2023 3 15 0 4.4058 0.09514018 4.4020 0.0000 
2023 3 16 0 4.4070 0.09518895 4.4065 0.0000 
